TimeStamp,h_d,theta_d,v_d,psi_dot_d,theta_hat,theta_dot_hat,v_hat,psi_dot_hat,tau_RW,tau_LW
3222,0.135238,0.0118915,-0.00976801,0.0115018,0.00914675,0.230799,0.241272,-0.00565814,-0.0772378,0.0738814
3229,0.135238,0.0118923,-0.00976801,0.0115018,0.010645,-0.0171489,0.226649,0.0174889,-0.0327837,0.0341513
3238,0.135238,0.0118927,-0.00976801,0.0115018,0.0101697,-0.173688,0.226182,0.0411499,-0.00310152,0.00956676
3246,0.135238,0.0118928,-0.00976801,0.0115018,0.00901405,-0.278669,0.205284,-0.0329194,0.0106792,-0.0220381
3254,0.135238,0.0118929,-0.00976801,0.0115018,0.00693163,-0.204867,0.202094,-0.00565821,0.00494658,-0.00967605
3262,0.135238,0.0118929,-0.00976801,0.0115018,0.00569489,-0.0560523,0.198331,-0.0241757,-0.0197928,0.01113
3270,0.135238,0.0118929,-0.00976801,0.0115018,0.00531362,0.166979,0.207668,0.0282907,-0.0518638,0.0562638
3278,0.135238,0.0118929,-0.00976801,0.0115018,0.00749347,0.271437,0.227832,0.0555526,-0.0723679,0.0835576
3286,0.135317,0.0118615,-0.00976801,0.0115018,0.00904068,0.197092,0.233577,0.0771566,-0.060511,0.0765964
3294,0.135317,0.0118515,-0.00976801,0.0115018,0.0105408,-0.0756379,0.232911,0.0288049,-0.0225929,0.0264517
3301,0.135317,0.0118472,-0.00976801,0.0115018,0.00925631,-0.245765,0.217856,0.014917,0.00840507,-0.00836675
3310,0.135317,0.0118453,-0.00976801,0.0115018,0.00747843,-0.274407,0.208187,-0.00462935,0.0149011,-0.0195917
3318,0.135317,0.0118446,-0.00976801,0.0115018,0.00541409,-0.198475,0.198698,-0.040121,0.00240419,-0.0152709
3326,0.135238,0.0118756,-0.00976801,0.0115018,0.00437883,0.0843705,0.211802,-0.0118306,-0.0421831,0.0368468
3334,0.135238,0.0118855,-0.00976801,0.0115018,0.00531131,0.204289,0.21341,0.0663545,-0.0545465,0.0680459
3342,0.135317,0.0118583,-0.00976801,0.0115018,0.0068589,0.287557,0.247095,0.0483512,-0.0781964,0.0877293
3350,0.135317,0.0118501,-0.00976801,0.0115018,0.00923238,0.0382764,0.230477,0.0282906,-0.0394997,0.0435668
3358,0.135238,0.011878,-0.00976801,0.0115018,0.0095006,-0.107341,0.234725,-0.00154327,-0.0196922,0.0162751
3366,0.135238,0.0118865,-0.00976801,0.0115018,0.0088074,-0.244963,0.221521,-0.0390919,0.00198026,-0.0146939
3373,0.135238,0.0118902,-0.00976801,0.0115018,0.00678545,-0.281607,0.203553,-0.0123449,0.0169475,-0.0234925
3382,0.135238,0.0118917,-0.00976801,0.0115018,0.00507881,-0.160906,0.195791,-0.027262,-0.00137361,-0.00834855
3390,0.135238,0.0118924,-0.00976801,0.0115018,0.00404307,0.137132,0.21316,0.028805,-0.0459453,0.0503569
3398,0.135238,0.0118927,-0.00976801,0.0115018,0.0052504,0.247723,0.225669,0.043722,-0.0663528,0.0746437
3406,0.135238,0.0118928,-0.00976801,0.0115018,0.00724877,0.270904,0.239814,0.0339488,-0.0764163,0.0825028
3414,0.135317,0.0118614,-0.00976801,0.0115018,0.00885853,-0.0146192,0.244041,0.04115,-0.0307943,0.0377301
3422,0.135317,0.0118515,-0.00976801,0.0115018,0.00827614,-0.23524,0.231209,0.0267475,0.00724867,-0.00439894
3430,0.135317,0.0118472,-0.00976801,0.0115018,0.00597811,-0.313443,0.218074,-0.0277761,0.0191822,-0.0294773
3438,0.135317,0.0118453,-0.00976801,0.0115018,0.00385967,-0.248301,0.204449,-0.00102887,0.0165617,-0.0203769
3445,0.135317,0.0118446,-0.00976801,0.0115018,0.00237806,-0.0367365,0.208526,-0.0113165,-0.0186299,0.0130138
3454,0.135317,0.0118442,-0.00976801,0.0115018,0.00238752,0.188565,0.215054,0.0313768,-0.0523295,0.0574822
3462,0.135317,0.0118441,-0.00976801,0.0115018,0.00389692,0.301149,0.229479,0.0925874,-0.0683477,0.0883175
3470,0.135317,0.011844,-0.00976801,0.0115018,0.00616349,0.206416,0.238239,0.0653255,-0.0602644,0.0735437
3478,0.135317,0.011844,-0.00976801,0.0115018,0.0077039,-0.0338022,0.231199,0.0468081,-0.0232815,0.0314755
3486,0.135317,0.011844,-0.00732601,0.0115018,0.00712063,-0.216854,0.226785,0.0159457,0.005594,-0.0052553
3494,0.135317,0.011844,-0.00732601,0.0115018,0.00545107,-0.305851,0.21002,-0.0370349,0.0192362,-0.0317023
3502,0.135317,0.011844,-0.00732601,0.0115018,0.00341077,-0.155575,0.210539,-0.0401223,-0.00351522,-0.00924907
