TimeStamp,h_d,v_d,psi_dot_d,theta_hat,theta_dot_hat,v_hat,psi_dot_hat,tau_RW,tau_LW
2937,0.172857,0.00122106,0.00549451,-0.0767288,-0.71328,0.214964,-0.0437331,0.112793,-0.112793
2949,0.172857,0.00122106,0.00549451,-0.0644774,-0.817675,0.274784,0.125381,0.0717727,-0.0839281
2961,0.173889,0.00122106,0.00549451,0.0976217,-0.350728,0.248588,-0.0400207,0.0829809,-0.0625447
2973,0.173968,0.00122106,0.00549451,0.0649476,0.041601,0.18609,-0.0307676,-0.0970694,0.0901047
2985,0.173968,0.00122106,0.00549451,0.0221152,0.146841,0.122293,-0.108621,-0.102415,0.0978339
2997,0.175,0.00122106,0.003663,0.0535069,-0.0681854,0.135774,0.0126771,-0.0814894,0.0617054
3009,0.175873,0.00122106,0.003663,0.134762,-0.320548,0.184345,-0.146159,-0.0749649,0.0784388
3021,0.175873,0.00122106,0.003663,0.194598,-0.405799,0.21311,-0.0314071,-0.112793,0.106676
3033,0.175952,0.00122106,0.003663,0.127375,-0.596551,0.226515,-0.0490883,-0.112793,0.112793
3045,0.176984,0.00122106,0.00549451,0.0492681,-0.921321,0.267577,0.102337,-0.096639,0.0876212
3057,0.176984,0.00122106,0.00549451,0.13921,-1.08834,0.31402,-0.0551132,0.00408969,0.0136156
3069,0.176984,0.00122106,0.003663,0.0129266,-1.24349,0.348762,0.00161164,-0.0681207,0.0570251
3081,0.177063,0.00122106,0.003663,-0.0872944,-1.21283,0.341147,-0.141751,0.0447282,-0.0476672
3093,0.177063,0.00122106,0.003663,-0.0862313,-1.16388,0.358817,-0.0702963,0.104842,-0.112793
3105,0.178254,0.00122106,0.003663,-0.164293,-0.928578,0.346844,-0.147643,0.10494,-0.112793
3117,0.178254,0.00122106,0.003663,-0.202031,-0.606663,0.271675,-0.154881,0.112793,-0.112793
3129,0.178254,0.00122106,0.003663,-0.1992,-0.194875,0.200643,-0.260368,0.112793,-0.112793
3141,0.179524,0.00122106,0.003663,0.182251,0.213668,0.138007,-0.219248,0.0954832,-0.112793
3153,0.179524,0.00122106,0.003663,0.122838,0.347943,0.0525229,-0.368726,-0.112793,0.112793
3165,0.179524,0.00122106,0.003663,0.0714868,0.432694,-0.0055356,-0.140666,-0.112793,0.112793
3177,0.180476,0.00122106,0.003663,0.0563243,0.121282,0.0557565,-0.141911,-0.112793,0.112793
3189,0.180556,0.00122106,0.003663,-0.0435574,-0.274097,0.0854941,-0.3088,-0.105426,0.0797345
3201,0.180556,0.00122106,0.003663,-0.128046,-0.60099,0.129723,-0.244914,-0.0100225,-0.0509754
3213,0.181746,0.00122106,0.003663,-0.0569738,-0.757655,0.172971,-0.0778437,0.0882797,-0.112793
3225,0.182857,0.00122106,0.003663,-0.0922433,-0.519149,0.193161,-0.0584118,0.0608045,-0.0790702
3237,0.182857,0.00122106,0.003663,-0.0906665,-0.224788,0.131199,-0.0924564,0.064497,-0.0787875
3249,0.182937,0.00122106,0.003663,-0.0914346,-0.0911415,0.0728914,-0.0698142,0.0373829,-0.0573001
3261,0.183968,0.00122106,0.003663,-0.0467988,0.150532,0.0234712,-0.0171198,0.0328759,-0.048108
3273,0.183968,0.00122106,0.003663,-0.11967,0.0299745,-0.0129836,-0.0373901,-0.0153304,0.0118274
3285,0.184127,0.00122106,0.003663,-0.12818,-0.0216236,-0.0209305,-0.0897106,0.0541514,-0.0634304
3297,0.185,0.00122106,0.003663,-0.0683997,0.0722751,0.0114635,-0.0352153,0.0614793,-0.081192
3309,0.185,0.00122106,0.003663,-0.101871,0.0367346,-0.00118252,0.0228861,0.00806489,-0.0157525
3321,0.185079,0.00122106,0.003663,-0.0850736,0.00988883,-0.0258306,0.0351026,0.044217,-0.0415024
3333,0.185159,0.00122106,0.003663,-0.0168966,-0.109288,-0.0203022,0.0983918,0.0373994,-0.0321679
3345,0.185159,0.00122106,0.003663,-0.0613944,-0.141479,-0.0147725,0.0532318,0.00187175,0.0164144
3357,0.186111,0.00122106,0.003663,-0.0951614,-0.187194,-0.0182515,0.0549159,0.0345534,-0.0259024
3369,0.186111,0.00122106,0.003663,-0.112883,-0.215285,-0.0110944,0.00256195,0.0655796,-0.0574092
3381,0.186111,0.00122106,0.003663,-0.193316,-0.134075,-0.00955728,0.022523,0.0762427,-0.0785664
3393,0.186111,0.00122106,0.003663,-0.275451,-0.206958,-0.027072,-0.0381392,0.112793,-0.112793
3405,0.186349,0.00122106,0.003663,-0.18657,-0.119206,-0.0456522,0.0207689,0.112793,-0.112793
