TimeStamp,h_d,v_d,psi_dot_d,theta_hat,theta_dot_hat,v_hat,psi_dot_hat,tau_RW,tau_LW
2997,0.138175,-0.001221,0.576923,-0.105704,0.389899,0.1328,0.501861,-0.112793,0.112793
3009,0.138175,-0.001221,0.602564,0.0498816,0.191459,0.173484,0.590496,0.0111576,-0.0307649
3021,0.138175,-0.001221,0.602564,0.188179,0.0770851,0.22793,0.48676,-0.0754949,0.0750555
3033,0.138175,-0.001221,0.604396,0.106511,0.221549,0.198455,0.50139,-0.112793,0.112793
3045,0.138175,-0.001221,0.635531,0.0223628,0.0933714,0.190656,0.47635,-0.112793,0.108496
3057,0.138175,-0.001221,0.635531,0.0300301,-0.130285,0.238074,0.598144,-0.0643127,0.034735
3069,0.138175,-0.001221,0.637363,0.190936,-0.260223,0.279374,0.486695,-0.0440789,0.0372772
3081,0.138175,-0.001221,0.661172,0.0471547,-0.283812,0.289582,0.525103,-0.112793,0.112793
3093,0.138175,-0.001221,0.661172,0.0479125,-0.341259,0.276569,0.509384,-0.0576706,0.0320843
3105,0.138175,-0.001221,0.661172,-0.012096,-0.479231,0.315894,0.600443,-0.0537135,0.0249065
3117,0.138175,0.00122106,0.664835,0.0619853,-0.471725,0.331769,0.571116,0.00415105,-0.0173484
3129,0.138175,0.00122106,0.664835,0.0959809,-0.373492,0.337936,0.585099,-0.0521526,0.0345373
3141,0.138175,0.00122106,0.668498,0.0959213,-0.215605,0.310768,0.506971,-0.0834011,0.0686275
3153,0.138175,0.00122106,0.692308,-0.0537005,-0.244372,0.302574,0.619561,-0.103681,0.0695932
3165,0.138175,0.00122106,0.692308,0.0472591,-0.366749,0.325131,0.664243,0.0140307,-0.0288664
3177,0.138175,0.00122106,0.717949,0.135516,-0.424971,0.355269,0.640251,-0.0460949,0.0362677
3189,0.138175,0.00122106,0.721612,0.0541333,-0.287677,0.323242,0.560728,-0.108005,0.0941526
3201,0.138175,0.00122106,0.721612,-0.0836264,-0.288518,0.30918,0.61157,-0.0676278,0.0374112
3213,0.138175,0.00122106,0.745421,0.0241732,-0.418179,0.345137,0.705949,0.0318133,-0.0590615
3225,0.138175,0.00122106,0.749084,0.143263,-0.38229,0.379131,0.684452,-0.0267767,0.0185146
3237,0.138175,0.00122106,0.749084,0.100056,-0.179483,0.333489,0.617437,-0.112793,0.107267
3249,0.138175,0.00122106,0.772894,-0.120071,-0.222926,0.30156,0.697953,-0.108829,0.0807384
3261,0.138175,0.00122106,0.776557,0.0354977,-0.377377,0.337605,0.730706,0.0577388,-0.0747199
3273,0.138175,0.00122106,0.776557,0.0482056,-0.497425,0.389633,0.759567,-0.0375212,0.0290188
3285,0.138175,0.00122106,0.776557,0.124188,-0.227136,0.352454,0.633369,-0.0386459,0.0356937
3297,0.138175,0.00122106,0.782051,-0.15802,-0.209775,0.323175,0.693148,-0.112793,0.096294
3309,0.138175,0.00122106,0.782051,0.0223565,-0.22685,0.334464,0.733418,0.079825,-0.0993271
3321,0.138175,0.00122106,0.804029,0.0482625,-0.302005,0.377266,0.757745,-0.0429637,0.0298889
3333,0.138175,0.00122106,0.805861,0.104951,-0.029934,0.324938,0.683261,-0.0566584,0.0482262
3345,0.138175,0.00122106,0.805861,-0.185889,-0.0413796,0.297429,0.708148,-0.112793,0.0993043
3357,0.138175,0.00122106,0.805861,-0.00616318,-0.141065,0.311744,0.76112,0.0868493,-0.108074
3369,0.138175,0.00122106,0.835165,0.0800088,-0.190145,0.365829,0.727022,-0.0284341,0.0144335
3381,0.138175,0.00122106,0.835165,0.0665193,0.0958803,0.312581,0.721244,-0.0926076,0.0733799
3393,0.138175,0.00122106,0.836996,-0.164558,0.117995,0.273003,0.718112,-0.102471,0.0822661
3405,0.138175,0.00122106,0.836996,-0.0513794,-0.0560638,0.301591,0.805938,0.0592251,-0.0837909
3417,0.138175,0.00122106,0.836996,0.117828,-0.14525,0.345316,0.733476,0.00101423,-0.00720951
3429,0.138175,0.00122106,0.842491,0.0266432,0.117898,0.306935,0.73645,-0.112793,0.101895
